,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
507,L.A. Burdick (Felchlin),Brazil,2012,70.0,U.S.A.,80.0,Blend,Brazil,140000.0
508,L.A. Burdick (Felchlin),Chuao,2012,68.0,U.S.A.,75.0,Trinitario,Venezuela,127500.0
509,L.A. Burdick (Felchlin),Madagascar,2009,64.0,U.S.A.,70.0,Trinitario,Madagascar,112000.0
510,L.A. Burdick (Felchlin),Bolivian,2009,68.0,U.S.A.,60.0,Blend,Bolivia,102000.0
597,Matale,"Somia, 2013",2013,68.0,Australia,80.0,Trinitario,Madagascar,136000.0
598,Matale,Blend,2013,70.0,Australia,75.0,Trinitario,"PNG, Vanuatu, Mad",131250.0
664,Ocelot,Virunga,2015,70.0,Scotland,75.0,Forastero,Congo,131250.0
682,Pacari,"Sierra Nevada, Tutu Iku",2016,70.0,Ecuador,80.0,Blend,Colombia,140000.0
683,Pacari,Garaua,2014,70.0,Ecuador,65.0,Blend,Ecuador,113750.0
684,Pacari,Cumbia,2014,70.0,Ecuador,70.0,Blend,Ecuador,122500.0
685,Pacari,Montubia,2014,70.0,Ecuador,75.0,Blend,Ecuador,131250.0
686,Pacari,Tangara,2014,70.0,Ecuador,80.0,Blend,Ecuador,140000.0
687,Pacari,Piura,2012,70.0,Ecuador,80.0,Blend,Peru,140000.0
688,Pacari,Nube- prototype,2011,70.0,Ecuador,70.0,Blend,Ecuador,122500.0
689,Pacari,Esmeraldas,2008,60.0,Ecuador,50.0,Forastero (Arriba),Ecuador,75000.0
690,Pacari,Manabi,2008,65.0,Ecuador,55.0,Forastero (Arriba),Ecuador,89375.0
691,Pacari,Raw,2008,70.0,Ecuador,70.0,Forastero (Arriba),Ecuador,122500.0
703,Patric,Signature Blend,2011,70.0,U.S.A.,75.0,Blend,Other,131250.0
704,Patric,Madagascar,2009,67.0,U.S.A.,70.0,Trinitario,Madagascar,117250.0
705,Patric,"Rio Caribe, Paria Penninsula",2009,70.0,U.S.A.,70.0,Trinitario,Venezuela,122500.0
706,Patric,Madagascar,2007,70.0,U.S.A.,80.0,Trinitario,Madagascar,140000.0
707,Patric,"Piura, Choc. Garage Exclusive",2013,67.0,U.S.A.,80.0,Blend,Peru,134000.0
712,Potomac,"Oko Caribe, Duarte Province, 2016 H.",2016,70.0,U.S.A.,75.0,Blend,Domincan Republic,131250.0
713,Potomac,"Cuyagua, 2013",2014,70.0,U.S.A.,75.0,Blend,Venezuela,131250.0
714,Potomac,Upala w/ nibs,2011,70.0,U.S.A.,70.0,Matina,Costa Rica,122500.0
715,Potomac,"Upala, Batch 18",2011,70.0,U.S.A.,60.0,Matina,Costa Rica,105000.0
716,Potomac,"San Martin, Amazonian Highlands",2011,70.0,U.S.A.,55.0,Blend,Peru,96250.0
717,Potomac,Bahia,2011,70.0,U.S.A.,70.0,Blend,Brazil,122500.0
774,Sirene,"Somia Plantation, 2012",2014,67.0,Canada,75.0,Trinitario,Madagascar,125625.0
925,Tobago Estate (Pralus),"Roxborough, Tobago",2012,70.0,France,80.0,Trinitario,Tobago,140000.0
931,Valrhona,"Piura, Illanka, Quemazon",2015,63.0,France,80.0,Blend,Peru,126000.0
932,Valrhona,"Andoa, Grand Cru blend",2013,70.0,France,70.0,Blend,Other,122500.0
933,Valrhona,"Loma Sotavento, 2013",2013,64.0,France,70.0,Blend,Dominican Republic,112000.0
934,Valrhona,"Otucan, Grand Cru",2012,69.0,France,80.0,Blend,Venezuela,138000.0
935,Valrhona,Caraque,2011,56.0,France,65.0,Blend,Other,91000.0
936,Valrhona,"Porcelana, Pedegral",2011,64.0,France,80.0,Criollo,Venezuela,128000.0
937,Valrhona,Tainori,2009,64.0,France,75.0,Blend,Dominican Republic,120000.0
938,Valrhona,Alpaco,2009,66.0,France,75.0,Blend,Ecuador,123750.0
939,Valrhona,Nyangbo,2009,68.0,France,70.0,Forastero,Ghana,119000.0
940,Valrhona,Chuao 2002 P.,2007,65.0,France,75.0,Trinitario,Venezuela,121875.0
941,Valrhona,Manjari,2007,64.0,France,80.0,"Criollo, Trinitario",Madagascar,128000.0
942,Valrhona,"Porcelana, Maracaibo, Palmira P. 2006",2007,64.0,France,65.0,Criollo (Porcelana),Venezuela,104000.0
943,Valrhona,Caraibe,2006,66.0,France,60.0,Trinitario,Carribean,99000.0
944,Valrhona,Guanaja,2006,70.0,France,80.0,"Criollo, Trinitario",South America,140000.0
945,Valrhona,Gran Couva 2005 P.,2006,64.0,France,50.0,Trinitario,Trinidad,80000.0
946,Valrhona,"Porcelana, Maracaibo, Palmira P. 2005",2006,64.0,France,60.0,Criollo (Porcelana),Venezuela,96000.0
947,Valrhona,"Sambirano, Ampamakia 2005, Millot P.",2006,64.0,France,70.0,Trinitario,Madagascar,112000.0
962,Willie's Cacao,Los Llanos,2016,70.0,U.K.,80.0,Blend,Colombia,140000.0
963,Willie's Cacao,Java,2010,69.0,U.K.,75.0,Blend,Indonesia,129375.0
964,Willie's Cacao,San Martin,2009,70.0,U.K.,60.0,Blend,Peru,105000.0
