,2012,2013,2014,2015,2016,2017
A. Morin,72.5,66.36363636363636,70.0,63.75,75.0,
AMMA,,,,,,
Acalli,,,,75.0,,
Adi,,,,,,
Aequare (Gianduja),,,,,,
Ah Cacao,,,,,,
Alain Ducasse,,,55.0,,,
Alexandre,,,,,,70.0
Altus aka Cao Artisan,,58.75,,,54.0,
Amano,,,,,,
Amatller (Simon Coll),,,,,,
Ambrosia,,,,65.0,,
Amedei,75.0,,,,,
Arete,,,,72.14285714285714,71.81818181818181,
Askinosie,,,,,75.0,
Bahen & Co.,53.333333333333336,,,70.0,,
Bakau,,,,62.5,,
Bar Au Chocolat,70.0,,80.0,70.0,,
Batch,,,,,70.0,
Beehive,,,,,55.0,
Belcolade,,,,,,
Bellflower,,,,,68.33333333333333,
Bernachon,55.0,,,,,
Beschle (Felchlin),,,,,,
Bittersweet Origins,,,,,,
Black Mountain,,,,,,
Black River (A. Morin),,,55.0,,,
Blue Bandana,72.5,,,,,
Bonnat,,,75.0,,,
Bowler Man,,,55.0,,,
Brasstown aka It's Chocolate,,65.0,77.5,75.0,72.5,
Brazen,,,,65.0,,
Breeze Mill,,60.0,,,,
Bright,,,62.5,,,
Britarev,,,,65.0,,
Bronx Grrl Chocolate,,55.0,,,,
Burnt Fork Bend,,,50.0,,,
C-Amaro,,,70.0,,,
Cacao Arabuco,,,,50.0,,
Cacao Barry,,,,,70.0,
Cacao Hunters,,,65.0,,,
Cacao Market,,,,,70.0,
Cacao Prieto,,,,,,
Cacao Sampaka,,,,,70.0,
Cacao Store,,,,65.0,,
Cacao de Origen,,,75.0,,,
Cacaosuyo (Theobroma Inversiones),,65.0,,,,
Cacaoyere (Ecuatoriana),,,,,,
Callebaut,,,,,,
Cao,,,,,62.5,
Caoni (Tulicorp),,,,,,
Captain Pembleton,,,72.5,,,
Carlotta Chocolat,,,,,66.0,
Castronovo,,57.5,55.0,75.0,,
Cello,,,55.0,,,
Chaleur B,,,55.0,,,
Charm School,,,,,65.0,
Chchukululu (Tulicorp),,,,,,
Chequessett,,,70.0,,,
Chloe Chocolat,,,,,,
Chocablog,,,,65.0,,
Choco Dong,,,,62.5,,
Chocola'te,,,,,,
Chocolarder,,,,52.5,,
Chocolate Con Amor,,,,,57.5,
Chocolate Makers,,,,70.0,,
"Chocolate Tree, The",55.0,75.0,,75.0,,
Chocolats Privilege,,,50.0,,,
Chocosol,,,,,,
Chocovic,,,,,,
Chocovivo,,,,50.0,,
Choklat,,,,,,
Chokolat Elot (Girard),,55.0,,,,
Christopher Morel (Felchlin),,,,,,
Chuao Chocolatier,,,,,,
Compania de Chocolate (Salgado),,,,,,
Coppeneur,70.0,65.0,,,,
Cote d' Or (Kraft),,,,,,
Cravve,65.0,,50.0,,,
DAR,,,,,65.0,
Daintree,,,,55.0,,
Damson,,,,57.5,,
Dandelion,66.66666666666667,65.0,67.5,60.0,75.0,
Danta,73.75,,,,,
Dark Forest,,,,62.5,,
Davis,65.0,53.333333333333336,,,,
De Mendes,,,,70.0,,
De Villiers,,,,,55.0,
Dean and Deluca (Belcolade),,,,,,
Debauve & Gallais (Michel Cluizel),,,,,,
Dick Taylor,,65.0,,75.0,,75.0
Dole (Guittard),,,,,,
Dolfin (Belcolade),,,,,,
Domori,72.5,,,75.0,,
Dormouse,,,,50.0,,
Duffy's,,,70.0,80.0,,
Dulcinea,,,,65.0,,
Durci,,,,70.0,,
East Van Roasters,,,70.0,,,
Eau de Rose,,,,,65.0,
Edelmond,,,,,60.0,
El Rey,,,,75.0,,
Emerald Estate,,60.0,,,,
Erithaj (A. Morin),,,65.0,,,
Escazu,55.0,,,,,
Ethel's Artisan (Mars),,,,,,
Felchlin,,,,,,
Finca,,,55.0,,,
Forteza (Cortes),,,,,55.0,
Fossa,,,,,65.0,
Franceschi,72.5,,72.5,,,
Frederic Blondeel,,,70.0,70.0,,
French Broad,60.0,70.0,65.0,,,70.0
Fresco,70.0,77.5,67.5,,,
Friis Holm,,,,,70.0,
Friis Holm (Bonnat),67.5,67.5,70.0,60.0,,
Fruition,50.0,75.0,75.0,,,
Georgia Ramon,,,,71.66666666666667,,
Glennmade,,,,60.0,70.0,
Green & Black's (ICAM),,,,,,
Green Bean to Bar,,,,,70.0,
Grenada Chocolate Co.,,,,,,
Guido Castagna,,,,,,
Guittard,,61.25,,75.0,,
Habitual,,,62.5,,,
Hacienda El Castillo,,,57.5,,,
Haigh,,,,,,
Harper Macaw,,,,60.0,,
Heilemann,,,,,55.0,
Heirloom Cacao Preservation (Brasstown),,,,,65.0,
Heirloom Cacao Preservation (Guittard),,,70.0,,,
Heirloom Cacao Preservation (Millcreek),,,,,70.0,
Heirloom Cacao Preservation (Zokoko),,,,,75.0,
Hogarth,,,,,62.5,
Hoja Verde (Tulicorp),,,,,,
Holy Cacao,,,,70.0,55.0,
Hotel Chocolat,,80.0,,55.0,,
Hotel Chocolat (Coppeneur),70.0,,,,,
Hummingbird,,70.0,65.0,70.0,,
Idilio (Felchlin),,,,,,
Indah,,,,,50.0,
Indaphoria,60.0,,,,,
Izard,,,,62.5,,
Jordis,,,,55.0,,
Just Good Chocolate,,,73.33333333333333,,,
K'ul,,,,,67.5,
Kah Kow,,66.66666666666667,,,,
Kakao,50.0,,,,,
Kallari (Ecuatoriana),,,,,,
Kaoka (Cemoi),,,,,,
Kerchner,,75.0,,,,
Kiskadee,,,60.0,,,
L.A. Burdick (Felchlin),77.5,,,,,
La Chocolaterie Nanairo,,,,,53.75,
La Maison du Chocolat (Valrhona),70.0,65.0,,,,
La Pepa de Oro,,,,,,
Laia aka Chat-Noir,,,55.0,,,
Lajedo do Ouro,70.0,,,,,
Letterpress,,,70.0,66.0,65.0,67.5
Lilla,,,,,60.0,
Lillie Belle,71.25,,,,,
Loiza,,50.0,,,,
Lonohana,,70.0,70.0,,,
Luker,,,,,,
Machu Picchu Trading Co.,,,,,,
Madecasse (Cinagra),,,,,,
Madre,66.66666666666667,58.75,,,,
Maglio,,,,,,
Majani,,,,,,
Malagos,,70.0,,,,
Malie Kai (Guittard),,,,,,
Malmo,,,,,60.0,
Manifesto Cacao,,,55.0,,,
Manufaktura Czekolady,66.66666666666667,,75.0,,72.5,
Map Chocolate,,,,67.5,,
Marana,,,,,58.333333333333336,
Marou,70.0,,,72.5,,
Mars,,,,,,
Mast Brothers,,,,,,
Matale,,77.5,,,,
Maverick,,,66.66666666666667,,,
Meadowlands,,,59.0,,,
Mesocacao,,,67.5,60.0,,
Metiisto,,,60.0,,,
Metropolitan,,,,70.0,,
Michel Cluizel,75.0,,,,,
Middlebury,40.0,,,70.0,,
Millcreek Cacao Roasters,70.0,50.0,,,,
Mindo,,,,,,
Minimal,,,,,70.0,
Mission,,,,70.0,,
Mita,50.0,,,,,
Moho,,,,,,
Molucca,,,,60.0,,
Momotombo,,,,,,
Monsieur Truffe,,,65.0,,,
Montecristi,,,,67.5,,
Muchomas (Mesocacao),,,,70.0,,
Mutari,,,,,55.0,
Nahua,,55.0,,,,
Naive,,75.0,,,,
Nathan Miller,,,60.0,,,
Na�ve,,,62.5,,,
Neuhaus (Callebaut),,,,,,
Noir d' Ebine,60.0,,,,,
Nova Monda,60.0,,,,,
Nuance,,,,67.0,,
Nugali,,,,,70.0,
Oakland Chocolate Co.,,,,,,
Obolo,,,,75.0,,
Ocelot,,,,75.0,,
Ocho,,,57.5,,70.0,
Ohiyo,,,,57.5,,
Oialla by Bojessen (Malmo),,,,,,
Olive and Sinclair,,,,,,
Omnom,,,65.0,,75.0,
Original Beans (Felchlin),,,55.0,,,
Original Hawaiin Chocolate Factory,,,,,,
Orquidea,60.0,,,,,
Pacari,80.0,,72.5,,80.0,
Palette de Bine,,,75.0,65.0,55.0,
Park 75,,,70.0,,,
Parliament,,,65.0,70.0,65.0,
Pascha,,52.5,,,,
Patric,,80.0,,,,
Paul Young,,,55.0,,,
Pierre Marcolini,,,,65.0,,
Pitch Dark,,,,50.0,,
Potomac,,,75.0,,75.0,
Pump Street Bakery,,,,70.0,,
Q Chocolate,62.5,55.0,,,,
Quetzalli (Wolter),,,,,55.0,
Raaka,,,,,60.0,
Rain Republic,,,,,,
Ranger,,,,50.0,,
Raw Cocoa,50.0,,,,,
Republica del Cacao (aka Confecta),,,,,,
Ritual,,,,70.0,,
Roasting Masters,,,,,65.0,
Robert (aka Chocolaterie Robert),,65.0,,,,
Rococo (Grenada Chocolate Co.),70.0,,,,,
Rogue,,70.0,,75.0,,
Rozsavolgyi,,,,,,
S.A.I.D.,,,,,,
SRSLY,,60.0,,,,
Sacred,65.0,,,,,
Salgado,,,,,,
Santander (Compania Nacional),,,,,,
Santome,,,,,,
Scharffen Berger,,,,,,
Seaforth,,,,55.0,,
Shattel,,,,,65.0,
Sibu,,,,70.0,,
Sibu Sura,50.0,,,,,
Silvio Bessone,,,,,,
Sirene,,,75.0,,,
Sjolinds,,,,55.0,,
"Smooth Chocolator, The",,,,70.0,71.66666666666667,70.0
Snake & Butterfly,,,,,,
Sol Cacao,,,,,70.0,
Solkiki,,,,,55.0,
Solomons Gold,,,,,65.0,
Solstice,,64.0,60.0,,,
Soma,73.57142857142857,71.11111111111111,70.0,70.0,71.66666666666667,
Somerville,,,67.5,,,
Soul,,,,,,67.5
Spagnvola,60.0,,,,,
Spencer,,,,,73.33333333333333,66.66666666666667
Sprungli (Felchlin),,60.0,,,,
StRita Supreme,50.0,,,,,
Starchild,,,,60.0,,
Stella (aka Bernrain),55.0,,,,,
Stone Grindz,,,70.0,,,
Sublime Origins,,55.0,,,,
Summerbird,,,,,50.0,
Suruca Chocolate,,,,,57.5,
Svenska Kakaobolaget,,,,55.0,,
Szanto Tibor,68.33333333333333,68.33333333333333,72.5,68.0,,
TCHO,,,,,40.0,
Tabal,,55.0,,,,
Tablette (aka Vanillabeans),,,,63.333333333333336,,
Tan Ban Skrati,,,,,65.0,
Taza,,,60.0,,,
Tejas,60.38461538461539,,,,,
Terroir,,,75.0,69.16666666666667,,
The Barn,,,,60.0,,
Theo,65.0,,,,,
Theobroma,,,,65.0,,
Tobago Estate (Pralus),80.0,,,,,
Two Ravens,,,,,60.0,
Un Dimanche A Paris,,,,,,
Undone,,,60.0,,,
Urzi,,,65.0,,,
Valrhona,80.0,70.0,,80.0,,
Vanleer (Barry Callebaut),55.0,,,,,
Vao Vao (Chocolaterie Robert),,,,,,
Vicuna,,,,65.0,,
Videri,65.0,,,,,
Vietcacao (A. Morin),70.0,,,,,
Vintage Plantations (Tulicorp),,,,,,
Vivra,,,,,53.333333333333336,
Wellington Chocolate Factory,,,,,70.0,
Willie's Cacao,,,,,80.0,
Woodblock,58.333333333333336,67.5,60.0,,,
Xocolat,,60.0,,,,
Xocolla,,,,,,52.5
Zak's,,,,64.16666666666667,,
Zart Pralinen,,,,,65.0,
Zokoko,,,,,65.0,
Zotter,69.28571428571429,,,,,
hello cocoa,,,,55.0,,
hexx,,,,60.0,,
twenty-four blackbirds,,65.0,,,,
